location_id,city_name,state_abbreviation,county
1,Syracuse,NY,Onondaga
2,Los Angeles,CA,Los Angeles
3,Chicago,IL ,Cook
4,Denver,CO,Denver
5,Ashbury Park,NJ,Monmouth
6,Plainfield,IL ,Will
7,Athens,GA,Clarke
8,McAlester,OK,Pittsburg
9,Tampa,FL,Hillsborough
10,Kansas City,MO,Jackson
11,Fortworth,TX,Tarrant
12,Newport News,VA,Newport News City
13,Bristol,VA,Bristol City
14,Bass River,NJ,Burlington
15,Vallejo,CA,Solano
