media_id,incident_id,link_to_media
51,16,https://www.keranews.org/news/2023-12-04/former-fort-worth-police-officer-aaron-deans-appeal-of-manslaughter-conviction-set-for-tuesday
52,16,https://www.keranews.org/news/2024-02-16/court-upholds-manslaughter-conviction-of-former-fort-worth-police-officer-aaron-dean
53,17,https://wtkr.com/2019/12/27/newport-news-police-officer-involved-in-shooting/
54,17,"https://www.dailypress.com/news/crime/dp-nw-pearson-closed-hearing-20230129-aj4phkevynd7bjegeetfiikd3e-story.html
"
55,17,https://www.dailypress.com/2023/05/19/settlement-reached-in-case-of-newport-news-man-killed-by-police-in-his-living-room-in-2019/
56,17,https://www.pilotonline.com/2023/08/17/judge-rules-in-favor-of-daily-press-virginian-pilot-unseals-records-in-police-officer-shooting-case/
57,18,"https://www.wjhl.com/news/local/breaking-officer-involved-shooting-reported-in-bristol-va/
"
58,18,https://wcyb.com/news/local/bristol-virginia-officer-charged-with-murder-in-fatal-shooting
59,18,https://wcyb.com/news/local/judge-to-weigh-what-testimony-can-be-admitted-in-murder-trial-of-bristol-officer
60,18,https://wcyb.com/news/local/motion-ruling-made-in-case-of-bristol-virginia-police-officer-charged-with-murder
61,18,https://wcyb.com/news/local/it-was-scary-witnesses-recount-officer-involved-shooting-in-bristol-virginia
62,18,https://lawandcrime.com/police/virginia-cop-posts-25000-bond-after-grand-jury-indicts-him-for-shooting-killing-suspect-while-on-duty/
63,18,https://fox17.com/news/local/vsp-changes-story-on-incident-that-led-to-murder-charge-for-a-bristol-police-officer
64,19,https://www.app.com/story/news/crime/2020/05/24/police-id-man-killed-officer-involved-shooting-parkway/5254318002/
65,19,"https://www.nbcnewyork.com/news/local/nj-trooper-wont-face-charges-in-2020-traffic-stop-death-of-black-ny-motorist/3693246/
"
66,19,https://www.nj.com/news/2022/05/no-criminal-charges-for-officer-who-killed-unarmed-black-man-on-highway.html
67,20,"https://www.marinij.com/2020/06/03/police-man-had-hammer-not-a-gun-when-he-was-fatally-shot/
"
68,20,https://abc7news.com/sean-monterrosa-police-shooting-officer-jarrett-tonn-vallejo/13712163/
69,20,https://www.vallejosun.com/vallejo-detective-who-killed-sean-monterrosa-to-be-reinstated-with-back-pay/
70,20,https://12ft.io/proxy?q=https%3A%2F%2Fwww.eastbaytimes.com%2F2023%2F09%2F20%2Fvallejo-releases-report-mandating-return-of-monterrosa-shooter%2F
71,20,https://www.kron4.com/news/bay-area/no-charges-for-officer-in-sean-monterrosa-shooting-state-ag-announces/
72,20,https://www.mercurynews.com/2023/12/20/insufficient-evidence-found-for-officer-who-killed-monterrosa/
73,20,https://abc7news.com/post/sean-monterrosa-boulevard-san-francisco-street-renamed-honor/15089894/
